IP,Country,class
1.9.102.13,MY,normal
1.9.102.29,MY,anomaly
1.9.103.126,MY,anomaly
1.9.103.153,MY,normal
1.9.106.24,MY,normal
1.9.139.245,MY,normal
1.9.246.12,MY,normal
2.0.22.125,FR,normal
2.1.126.83,FR,anomaly
2.102.1.224,GB,anomaly
2.103.114.149,GB,anomaly
2.103.28.30,GB,anomaly
2.103.64.182,GB,normal
2.103.93.166,GB,normal
2.106.54.102,DK,anomaly
2.11.117.89,FR,normal
2.11.50.34,FR,normal
2.11.68.87,FR,normal
2.113.199.58,IT,normal
2.120.202.28,GB,normal
2.121.174.255,GB,anomaly
2.121.94.176,GB,normal
2.122.105.53,GB,anomaly
2.122.192.110,GB,anomaly
2.124.50.52,GB,anomaly
2.125.1.110,GB,normal
2.125.175.145,GB,normal
2.125.252.219,GB,normal
2.125.62.74,GB,anomaly
2.126.140.66,GB,anomaly
2.126.142.47,GB,anomaly
2.127.227.16,GB,anomaly
2.131.235.112,DK,normal
2.132.103.216,KZ,anomaly
2.132.42.17,KZ,anomaly
2.133.54.15,KZ,anomaly
2.134.96.129,KZ,normal
2.135.166.133,KZ,anomaly
2.137.104.119,ES,normal
2.138.111.180,ES,normal
2.139.160.182,ES,anomaly
2.14.220.99,FR,anomaly
2.14.83.248,FR,anomaly
2.146.72.95,IR,normal
2.150.50.187,NO,normal
2.176.174.69,IR,anomaly
2.176.180.66,IR,normal
2.176.188.174,IR,anomaly
2.176.220.192,IR,normal
2.176.31.92,IR,normal
2.177.190.111,IR,anomaly
2.177.219.108,IR,normal
2.178.20.222,IR,normal
2.179.247.216,IR,normal
2.179.64.218,IR,normal
2.180.228.174,IR,anomaly
2.181.95.171,IR,anomaly
2.184.43.244,IR,normal
2.185.250.179,IR,anomaly
2.186.219.39,IR,normal
2.187.81.224,IR,normal
2.190.149.171,IR,normal
2.190.149.171,IR,normal
2.190.161.20,IR,anomaly
2.190.161.20,IR,anomaly
2.190.210.49,IR,normal
2.190.56.30,IR,normal
2.190.59.167,IR,normal
2.191.171.20,IR,anomaly
2.201.0.160,DE,normal
2.206.0.223,DE,normal
2.206.1.209,DE,anomaly
2.216.181.197,GB,normal
2.217.150.115,GB,anomaly
2.217.184.38,GB,anomaly
2.218.151.218,GB,normal
2.218.232.224,GB,anomaly
2.219.40.237,GB,normal
2.219.41.97,GB,anomaly
2.219.51.2,GB,anomaly
2.220.72.13,GB,normal
2.221.126.88,GB,normal
2.221.188.7,GB,normal
2.222.178.177,GB,normal
2.223.65.130,GB,anomaly
2.228.228.228,IT,normal
2.238.22.150,IT,anomaly
2.238.72.16,IT,normal
2.24.69.32,GB,anomaly
2.244.71.58,DE,anomaly
2.25.168.213,GB,anomaly
2.25.218.5,GB,normal
2.25.81.144,GB,anomaly
2.26.248.80,GB,normal
2.26.49.16,GB,normal
2.28.209.157,GB,anomaly
2.28.25.223,GB,normal
2.28.5.205,GB,anomaly
2.29.125.59,GB,normal
2.29.249.204,GB,anomaly
2.30.116.213,GB,anomaly
2.30.171.179,GB,normal
2.30.254.94,GB,anomaly
2.30.48.126,GB,anomaly
2.3.254.73,FR,anomaly
2.31.158.224,GB,normal
2.31.202.75,GB,anomaly
2.31.53.38,GB,normal
2.32.0.137,IT,anomaly
2.35.177.172,IT,anomaly
2.35.250.167,IT,anomaly
2.37.116.167,IT,normal
2.37.158.30,IT,anomaly
2.37.227.197,IT,normal
2.48.12.94,AE,normal
2.49.64.111,AE,normal
2.49.65.251,AE,normal
2.50.110.253,AE,anomaly
2.50.132.40,AE,anomaly
2.50.164.114,AE,normal
2.50.210.1,AE,normal
